mAb,Glycan_Class,Target_Epitope,Polysaccharide_Clade
CCRC-M95,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M101,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M104,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M89,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M93,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M87,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M88,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M100,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M103,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M58,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M86,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M55,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M52,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M99,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M54,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M48,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M49,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M96,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M50,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M51,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M53,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M57,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M102,Xyloglucan (Fucosylated),"Fucosylated xyloglucan / α-Fuc-(1,2)-β-Gal sidechain",Hemicellulose
CCRC-M39,Xyloglucan (Non-Fucosylated),Xyloglucan backbone / Gal-Xyl-Glc oligomers,Hemicellulose
CCRC-M106,Xyloglucan (Fucosylated),"Fucosylated xyloglucan / α-Fuc-(1,2)-β-Gal sidechain",Hemicellulose
CCRC-M84,Xyloglucan (Fucosylated),"Fucosylated xyloglucan / α-Fuc-(1,2)-β-Gal sidechain",Hemicellulose
CCRC-M1,Xyloglucan (Fucosylated),"Fucosylated xyloglucan / α-Fuc-(1,2)-β-Gal sidechain",Hemicellulose
CCRC-M111,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M108,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M109,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M119,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M115,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M110,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M105,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M117,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M113,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M120,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M118,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M116,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M114,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M154,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M150,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
