mAb,Glycan_Class,Target_Epitope,Polysaccharide_Clade
CCRC-M144,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M146,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M145,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M155,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M153,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M151,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M148,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M140,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M139,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M138,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M160,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M137,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M152,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M149,Xylan / Arabinoxylan,"β-(1,4)-xylan backbone / (4-O-methyl)-glucuronoxylan",Hemicellulose
CCRC-M75,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M70,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M74,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M166,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M168,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M174,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M175,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M169,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M170,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
LAMP,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
BG1,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M131,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M38,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
JIM5,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
JIM136,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
JIM7,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M69,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M35,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M36,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M14,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M129,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M72,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM3,Homogalacturonan (HG Pectin),"α-(1,4)-D-galacturonic acid (partially/fully methyl-esterified or unesterified)",Pectin
CCRC-M40,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M161,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M164,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M98,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M94,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M5,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M2,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM137,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM101,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M61,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M30,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M23,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M17,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M19,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M18,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M56,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M16,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M60,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M41,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M80,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M79,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M44,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M33,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M32,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M13,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M42,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M24,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M12,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M7,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M77,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M25,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M9,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M128,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M126,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M134,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M125,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M123,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M122,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M121,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M112,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M21,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM131,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M22,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM132,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM1,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M15,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M8,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM16,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM93,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM94,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM11,Extensins / HRGPs,O-glycosylated hydroxyproline arabinosides,Glycoprotein
MAC204,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM20,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM14,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM19,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM12,Extensins / HRGPs,O-glycosylated hydroxyproline arabinosides,Glycoprotein
CCRC-M133,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M107,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM4,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M31,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM17,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M26,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
JIM15,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM8,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M85,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M81,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
MAC266,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
PN16.4B4,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
MAC207,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM133,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
JIM13,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M92,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M91,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
CCRC-M78,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
MAC265,Arabinogalactan Proteins (AGPs),"β-(1,6)-galactan / β-(1,3)-galactan / Arabinogalactan protein epitopes",Glycoprotein
CCRC-M97,Rhamnogalacturonan-I / Galactan / Arabinan,"RG-I backbone / 1,4-β-D-galactan / 1,5-α-L-arabinan sidechains",Pectin
