mAb,Glycan_Class,Polysaccharide_Clade,Target_Epitope,Mean_Ground,Mean_Space,Fold_Change,log2FC,pvalue,log2FC_6d,pvalue_6d,log2FC_11d,pvalue_11d,Cohens_d,FDR
CCRC-M95,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.86875,0.9016666666666667,1.0378853273484108,0.05364705371045873,0.547426886523137,0.005602053561301085,0.9746112288069175,0.09888773099382249,0.2699613627962242,0.3597187649287431,0.9826317903891837
CCRC-M101,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8563333333333333,0.8758333333333334,1.0227688475460244,0.032480123401115446,0.7103776205996362,-0.023693948817299196,0.8802553948401287,0.08322347685390892,0.2441531508236862,0.22095460258460659,0.9826317903891837
CCRC-M104,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.9425,0.9398333333333334,0.9971709456114295,-0.0040872469887141445,0.9634438626419686,-0.03353945474298948,0.8365309107155772,0.0226717020624415,0.7948210641473454,-0.027150336658015212,0.9826317903891837
CCRC-M89,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8458333333333333,0.8405833333333333,0.993793837181811,-0.008981499562840384,0.9166372795813029,-0.06761815235553666,0.5220765508546108,0.04218707139640263,0.6064083734311129,-0.06236115808463535,0.9826317903891837
CCRC-M93,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.7939166666666666,0.8099166666666667,1.0201507105224492,0.028782302453388055,0.7773033425799567,-0.012992658426476877,0.9365170216888707,0.06459328519765098,0.30969560338586216,0.16833162592334666,0.9826317903891837
CCRC-M87,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8549166666666667,0.8768333333333334,1.0256330285959339,0.03651462711639612,0.5989238188769959,0.02691397392645634,0.7410282202047678,0.04500937204082623,0.3724917091730888,0.31392103432340773,0.9826317903891837
CCRC-M88,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8389999999999999,0.8615,1.0268144440471936,0.038175495346859864,0.6473641630672271,0.03954837008069213,0.701285958221161,0.036983368677457815,0.5891665341550689,0.2723095018380967,0.9826317903891837
CCRC-M100,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.6463333333333333,0.701,1.0845665961945032,0.11711864226765893,0.5197924928127806,-0.003230578612176752,0.9918482872562024,0.2126675399160783,0.21453227620634374,0.3853346868744196,0.9826317903891837
CCRC-M103,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.6174166666666667,0.6575000000000001,1.0649105287306686,0.0907322237103597,0.6037077004321888,-0.04180018774755252,0.887298864276457,0.19410012302526158,0.14511442446230577,0.3098572992570511,0.9826317903891837
CCRC-M58,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8945833333333334,0.9078333333333332,1.0148097092080994,0.021209227588364122,0.819434948109225,-0.017640556735308923,0.9166236623554612,0.0555038083362824,0.3265010601715423,0.1353072909263361,0.9826317903891837
CCRC-M86,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.5124166666666666,0.5701666666666667,1.1126792624630095,0.1540377857259682,0.4284791256781161,0.04402956820768992,0.8703830989759678,0.23518231244776355,0.15667016101563827,0.4783381079126656,0.9826317903891837
CCRC-M55,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.6156666666666667,0.6519166666666667,1.0588697017268447,0.08252507069196732,0.7045989492746841,-0.062413893128675,0.8800124279521018,0.19009852070007757,0.15549760987982364,0.22559214306958336,0.9826317903891837
CCRC-M52,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.6854166666666667,0.6960833333333335,1.0155600398726023,0.02227553423371709,0.8886683425848033,-0.05690849969930248,0.8530821921970131,0.08697185726946126,0.3836442099833885,0.08292853216060246,0.9826317903891837
CCRC-M99,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.8257500000000001,0.82375,0.9975782527093296,-0.003498080251441376,0.9740890904656891,-0.02988967013820047,0.8779481982235326,0.020191034875166963,0.8654103040573089,-0.019229191456425928,0.9826317903891837
CCRC-M54,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.7016666666666667,0.7254999999999999,1.0339619056666507,0.04818303331414673,0.7930250739062287,-0.07839795465106397,0.8263462690955408,0.15063322329414244,0.2769978897639115,0.15565980968704912,0.9826317903891837
CCRC-M48,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.5480833333333334,0.6138333333333333,1.1199416253686418,0.16342353675971094,0.4989531352922021,0.005954177006558424,0.9891929999555762,0.27659976293295446,0.13183784794938916,0.40587924455119484,0.9826317903891837
CCRC-M49,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.14383333333333334,0.15274999999999997,1.0619499768411298,0.08671580958562045,0.7961841748039659,-0.11186187950488415,0.8849236437218637,0.22268784368638755,0.17826524557512918,0.15318515395573531,0.9826317903891837
CCRC-M96,Xyloglucan (Non-Fucosylated),Hemicellulose,Xyloglucan backbone / Gal-Xyl-Glc oligomers,0.3959166666666667,0.44599999999999995,1.1264677412566808,0.17180599959608076,0.6485233504197214,-0.11650418038142113,0.869052762640067,0.3389867428111121,0.30155008190307514,0.27148640121793544,0.9826317903891837
